Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512577976937	22.25	8157	2.78388	8156.92	2.11975	8157.31	2.56205	8157.4	2.19848	8156.35	2.6297	29.538
1512577977961	22.25	8156.44	1.87824	8156.4	1.65831	8156.77	1.92154	8156.64	1.68028	8155.57	2.43809	29.5259
1512577978962	22.25	8157.11	2.08833	8156.24	1.92094	8157	1.95789	8156.6	1.77951	8155.76	2.00135	29.5356
1512577980065	22.26	8156.44	2.29734	8155.8	1.87083	8156.38	2.06311	8156.08	1.77764	8155.22	2.311	29.5244
1512577981089	22.26	8157.89	2.66667	8157.8	2.34521	8158.15	2.67227	8158.16	2.44404	8157.05	2.62458	29.5702
1512577982115	22.26	8156.44	2.18581	8156.48	2.06398	8156.46	1.98391	8156.84	2.19241	8155.89	2.3659	29.5179
1512577983180	22.27	8157.67	1.93649	8156.96	2.13073	8157.31	2.05688	8157.12	2.04776	8156.67	2.29859	29.5622
1512577984304	22.26	8156.22	1.71594	8156.4	1.73205	8156.08	1.801	8156.48	1.82848	8155.88	2.34411	29.5099
1512577985344	22.27	8157.11	1.90029	8156.72	1.96893	8156.85	2.1543	8156.92	2.03961	8156.03	2.23242	29.542
1512577986397	22.27	8157.89	1.90029	8157.2	1.91485	8157.69	2.05688	8157.6	1.89297	8156.15	2.19129	29.5742
1512577987479	22.27	8156.78	2.04803	8156.36	1.93391	8156.92	2.10006	8156.72	1.86011	8155.59	2.22048	29.5364
1512577988561	22.26	8158.67	2.44949	8157.44	2.21886	8158.54	2.06621	8158.12	2.26053	8156.05	2.58056	29.6065
1512577989636	22.27	8157.33	1.65831	8156.84	1.72434	8157.15	1.62512	8157.32	1.70098	8155.89	2.34378	29.5646
1512577990701	22.26	8158.11	2.36878	8157.4	2.41523	8158.08	2.4311	8158	1.97906	8156.59	2.29204	29.5848
1512577991727	22.27	8157.67	2.23607	8158.6	3.30404	8158.08	3.25222	8158.4	3.16228	8156.88	2.65583	29.5686
1512577992752	22.27	8155.67	1.73205	8156.68	2.5285	8156.23	2.48843	8156.72	2.57423	8156.03	2.13462	29.5018
1512577993831	22.27	8156	1.22474	8156.2	1.80278	8156.23	1.73944	8156.32	2.01494	8155.61	2.35415	29.5083
1512577994953	22.26	8156.22	1.71594	8155.92	1.77764	8156.62	1.66024	8156.36	1.8	8155.28	2.32886	29.5163
1512577995989	22.27	8155.89	1.90029	8156.12	1.76352	8156.15	1.86396	8156.36	1.84572	8156.3	2.35647	29.5083
1512577997082	22.26	8158.11	1.69148	8158.44	2.32881	8158.31	2.25036	8158.4	2.10159	8157.32	2.411	29.5799
1512577998120	22.26	8158.22	2.22361	8157.96	2.33595	8158.54	2.36697	8158.4	2.21736	8157.53	2.54142	29.5823
1512577999145	22.27	8158.33	1.73205	8158.4	1.52753	8158.54	1.8081	8158.8	1.58114	8158.27	2.32339	29.5742
1512578000159	22.25	8159.44	2.18581	8159.04	1.94679	8159.38	2.10311	8159.76	2.29637	8158.72	2.3863	29.6202
1512578001291	22.25	8159.44	1.66667	8159.6	1.93649	8159.62	1.75777	8160.28	1.94765	8159.33	2.56015	29.6202
1512578002330	22.25	8161.44	1.81046	8161.64	2.09921	8161.54	2.40192	8161.8	2.08167	8160.79	2.48087	29.6929
1512578003350	22.25	8160.33	2.59808	8159.8	2.04124	8160.46	2.25889	8160.4	2.17945	8159.53	2.4875	29.6525
1512578004404	22.25	8160.56	2.00693	8160.44	1.75784	8160.69	2.05688	8160.92	2.03961	8159.91	2.46467	29.6711
1512578005429	22.26	8158.11	1.83333	8158.32	1.74929	8158.38	1.85016	8158.56	1.68523	8158.27	2.38096	29.6509
1512578006473	22.25	8159.22	1.85592	8158.96	1.69509	8159.31	1.75046	8159.4	1.68325	8157.97	2.3182	29.5919
1512578007479	22.26	8159.56	1.66667	8158.8	1.75594	8159.38	1.55662	8159.28	1.48661	8157.64	2.15616	29.6388
1512578008526	22.26	8158.33	2.64575	8158.92	2.19697	8158.62	2.59931	8159.28	2.37206	8157.94	2.18228	29.5944
1512578009589	22.26	8158.22	1.7873	8158	1.75594	8158.15	2.03495	8158.4	2.04124	8157.13	2.07385	29.5823
1512578010615	22.25	8160.11	2.20479	8159.84	2.07525	8160.15	2.30384	8160.24	2.1848	8158.21	2.28185	29.6509
1512578011670	22.25	8160.44	2.24227	8159.76	2.14631	8160.15	1.99358	8160.32	2.03552	8158.43	2.57725	29.6565
1512578012701	22.25	8158.78	1.64148	8158.4	1.87083	8158.62	1.75777	8158.84	1.72434	8157.3	2.4607	29.596
1512578013778	22.25	8158.44	1.94365	8158.24	1.92094	8158.31	2.01596	8158.68	1.81934	8157.72	2.73607	29.5879
1512578014861	22.24	8158.67	1.58114	8158.28	1.88237	8158.85	1.81871	8158.88	1.78699	8158.03	2.85123	29.5855
1512578015886	22.25	8158.56	1.23603	8158.4	1.44338	8158.62	1.26085	8158.84	1.37477	8157.55	2.50591	29.5879
1512578017117	22.25	8157.67	2.12132	8157.2	1.87083	8157.77	1.7867	8157.8	1.75594	8156.7	2.46027	29.5758
1512578018226	22.25	8159.22	2.3863	8157.8	2.25462	8158.62	2.25605	8158.36	2.07926	8157.08	2.39121	29.6121
1512578019236	22.25	8157.33	1.73205	8157.28	1.90438	8157.69	1.93152	8157.76	2.10713	8157.27	2.62445	29.5557
1512578020483	22.25	8157.22	1.7873	8157.2	1.41421	8157.31	1.60128	8157.52	1.80555	8157.06	2.55894	29.5517
1512578021516	22.25	8158.67	1.87083	8157.92	1.86905	8158.85	1.62512	8158.28	1.72047	8157.11	2.57542	29.5839
1512578022522	22.24	8159.67	1.87083	8158.84	2.17332	8159.69	1.60128	8159.36	2.05913	8157.6	2.54386	29.6323
1512578023548	22.26	8158.11	1.36423	8158.04	2.33595	8158.54	1.45002	8158.6	1.87083	8156.94	2.49204	29.5718
1512578024647	22.26	8157.44	1.81046	8156.6	2.12132	8157.46	1.56074	8157.36	1.8	8155.62	2.32893	29.5541
1512578025687	22.25	8156.78	2.22361	8156.6	2.21736	8157.23	2.24179	8157.16	1.99332	8155.89	2.44256	29.5235
1512578026712	22.25	8158.44	2.24227	8158.08	1.93477	8158.77	2.12736	8158.52	1.82848	8156.72	2.48676	29.5839
1512578027738	22.25	8157.56	1.81046	8157.48	2.2383	8157.77	2.45472	8157.8	2.21736	8156.91	2.54165	29.5517
1512578028776	22.25	8157.89	1.83333	8157.16	1.74833	8157.69	1.97419	8157.52	1.61038	8156.53	2.19378	29.5637
1512578029836	22.24	8157	1.73205	8156.64	1.62993	8157	1.58114	8157.16	1.95107	8156.45	2.35162	29.5315
1512578030937	22.25	8159.33	2.12132	8159.16	1.81842	8159.38	1.80455	8159.52	2.06398	8158.1	2.64095	29.6097
1512578032054	22.25	8158.67	1.65831	8158.6	1.58114	8159	1.63299	8158.96	1.54056	8157.65	2.41711	29.5919
1512578033094	22.25	8158	1.58114	8157.64	1.68028	8158.23	1.36344	8158.16	1.59896	8156.69	2.31767	29.5613
1512578034149	22.25	8156.22	2.10819	8156.24	2.12681	8156.38	2.59931	8156.6	2.25462	8156.23	2.18895	29.5034
1512578035211	22.25	8156.33	1.65831	8156.4	2.19848	8156.46	1.89804	8156.8	2.02073	8156.35	2.42571	29.5049
1512578036228	22.25	8156.22	1.09291	8155.72	1.72047	8156.15	1.72463	8156.12	1.76352	8155.69	2.46957	29.4994
1512578037325	22.25	8157.33	1.58114	8157	1.82574	8157.62	1.50214	8157.32	1.62583	8156.32	2.4517	29.5436
1512578038365	22.25	8157.78	1.48137	8157.12	1.94336	8157.62	1.66024	8157.56	1.60935	8156.23	2.32346	29.5718
1512578039476	22.24	8157.44	1.424	8157.6	1.65831	8157.77	1.64083	8158.12	1.50886	8156.76	2.69795	29.5411
1512578040573	22.26	8156.56	1.33333	8156.92	1.84662	8157.15	1.86396	8157.64	2.13854	8156.73	2.38046	29.5195
1512578041582	22.24	8156.78	2.10819	8156.48	1.85113	8156.92	2.10006	8157.04	2.0306	8155.55	2.06367	29.517
1512578042621	22.25	8158.11	1.90029	8157.88	1.61555	8158.08	1.70595	8158.28	1.67133	8156.68	2.10866	29.5718
1512578043693	22.25	8158.78	1.7873	8158.16	1.7	8158.77	1.83275	8158.72	1.72047	8156.51	2.06435	29.5895
1512578044734	22.24	8157	1.80278	8156.56	1.70978	8157	2.08167	8157.08	1.86905	8156.05	2.17775	29.525
1512578045858	22.25	8157	2.23607	8156.52	1.8735	8157.15	2.23033	8157.08	2.13931	8155.62	2.44697	29.5315
1512578046909	22.25	8156.89	1.90029	8156.76	1.87705	8157.15	1.90815	8157.4	1.75594	8156.07	2.03739	29.5154
1512578047969	22.26	8157.33	1.5	8156.72	2.03142	8156.92	2.10006	8157.12	1.83303	8155.74	2.23784	29.5557
1512578049109	22.25	8156	1.22474	8156.52	1.68622	8156	1.73205	8156.64	1.7767	8155.51	1.99246	29.5074
1512578050201	22.24	8157.56	1.33333	8157.48	1.71075	8157.85	1.90815	8157.8	1.63299	8155.59	2.08999	29.5356
1512578051244	22.25	8156.44	1.23603	8156.84	1.74833	8156.85	1.72463	8156.92	1.55242	8155.57	2.1834	29.5049
1512578052285	22.25	8155.44	1.5899	8155.12	1.76352	8155.46	1.94145	8155.44	1.66032	8154.52	2.05414	29.4833
1512578053327	22.25	8156.22	1.56347	8155.12	1.85562	8155.77	1.5359	8155.68	1.51987	8154.12	2.14119	29.4953
1512578054339	22.25	8155.22	1.20185	8154.92	1.55242	8155.23	1.23517	8155.56	1.47422	8153.83	2.0523	29.4833
1512578055431	22.25	8155.78	1.48137	8155	1.97906	8155.62	1.60927	8155.48	1.5308	8153.59	2.23684	29.4938
1512578056472	22.25	8156.11	2.14735	8155.16	2.44404	8156.08	2.2532	8155.72	2.22711	8153.85	2.24147	29.5114
1512578057522	22.25	8154.89	1.61589	8154.68	1.74929	8154.85	1.81871	8155.12	1.69115	8154.24	2.28792	29.4527
1512578058647	22.25	8155.67	1.11803	8156.08	1.84662	8155.77	1.5359	8156.44	1.93821	8155.43	2.76822	29.4592
1512578059692	22.24	8155.56	1.81046	8155.56	1.55671	8155.77	1.73944	8156.12	1.81016	8154.91	2.21442	29.4527
1512578060802	22.24	8158.56	2.78887	8157.04	2.73069	8158.38	2.59931	8157.76	2.38537	8155.63	2.46315	29.5814
1512578061813	22.24	8156.44	2.12786	8155.92	2.34379	8156.92	2.53185	8156.72	2.30072	8154.86	2.46562	29.5114
1512578063014	22.25	8155.22	1.20185	8155.08	1.68127	8155.46	1.5064	8155.6	1.68325	8154.53	2.49586	29.4607
1512578064107	22.25	8154.56	1.01379	8155.28	1.76824	8154.92	1.65638	8155.72	1.98997	8154.89	2.32232	29.4367
1512578065146	22.24	8154.67	1.73205	8154.56	1.58325	8154.69	1.75046	8155	1.63299	8154.42	2.265	29.4407
1512578066203	22.25	8155.33	1.58114	8155.24	1.47986	8155.23	1.58923	8155.64	1.70489	8154.69	2.20008	29.4833
1512578067218	22.24	8154.11	2.26078	8154.2	1.65831	8154	1.91485	8154.76	1.78606	8153.99	2.49163	29.4287
1512578068220	22.24	8155.33	2.54951	8154.48	2.06398	8155	2.41523	8154.96	1.92527	8153.93	2.56274	29.4688
1512578069266	22.24	8158.22	3.07318	8157.4	2.53311	8158.08	2.62874	8158.12	2.38607	8156.1	2.99994	29.5693
1512578070275	22.25	8155.89	2.47207	8155.04	2.11108	8155.85	2.11527	8155.64	2.07926	8154.22	2.34838	29.4994
1512578071322	22.24	8155	1.41421	8154.76	1.66533	8155.08	1.70595	8155.08	1.93477	8154.13	2.51636	29.4487
1512578072326	22.24	8154	1.73205	8153.92	1.49778	8154.08	1.5525	8154.16	1.62481	8152.72	2.46316	29.4206
1512578073370	22.24	8154.56	1.50923	8154.8	1.80278	8154.54	1.61325	8154.92	1.73013	8153.79	2.31133	29.4407
1512578074377	22.25	8155.11	2.08833	8154.52	1.63605	8155.08	1.75412	8154.72	1.51438	8153.19	2.2329	29.4712
1512578075433	22.24	8153.33	1.65831	8153.08	1.41185	8153.31	1.70219	8153.2	1.38444	8152.37	1.96967	29.3966
1512578076526	22.25	8154.11	1.76383	8153.76	1.73877	8153.92	1.60528	8154.2	2.02073	8153.56	2.19308	29.3911
1512578077552	22.24	8153.89	1.36423	8153.28	1.59478	8153.69	1.31559	8153.56	1.68523	8152.97	2.27632	29.4206
1512578078578	22.24	8154	2.17945	8153.8	2.19848	8153.92	2.59684	8153.96	2.33595	8153.44	2.65711	29.4327
1512578079627	22.25	8153.89	2.02759	8153.96	2.07123	8153.92	2.326	8154.16	2.33952	8153.96	2.77232	29.4061
1512578080664	22.24	8153.89	2.02759	8153.96	2.07123	8153.92	2.326	8154.16	2.33952	8153.96	2.77232	29.4061
1512578081735	22.24	8153.89	2.02759	8153.96	2.07123	8153.92	2.326	8154.16	2.33952	8153.96	2.77232	29.4126
Rebooting
FFC
1512578085232	22.06	8196.22	1.92209	8196.6	2.3094	8196.23	1.7867	8196.48	2.14321	8195.36	2.55013	29.4126
1512578086400	22.11	8187.44	1.33333	8187.6	1.89297	8187.85	1.28103	8187.28	1.74452	8186.01	2.40333	30.5583
1512578087415	22.12	8183.56	0.726483	8183.2	1.29099	8183.46	1.05003	8182.96	1.33791	8182.07	1.77677	30.4961
1512578088505	22.15	8183.56	1.74005	8183.48	1.47535	8183.46	1.6641	8183.56	1.52971	8183.52	2.15801	30.4514
1512578089531	22.17	8185.67	1.93649	8185.8	1.77951	8185.69	1.79743	8185.68	1.79629	8185.09	2.13295	30.5436
1512578090599	22.2	8189.44	1.23603	8189.52	1.15902	8189.23	1.16575	8189.28	1.27541	8189.17	2.10574	30.6882
1512578091603	22.21	8192	1.73205	8191.88	2.5219	8192.46	2.43637	8192.04	2.63755	8190.63	2.41646	30.8021
1512578092608	22.22	8192.78	2.04803	8193.4	1.82574	8193.38	1.98068	8193.24	2.10713	8193.1	2.37514	30.838
1512578093741	22.24	8193.44	1.33333	8193.96	1.3687	8193.62	1.38675	8193.8	1.32288	8194.41	2.28542	30.8763
1512578094773	22.25	8194.78	1.7873	8195.32	1.70098	8195	1.82574	8195.2	1.87083	8194.89	2.06596	30.9334
1512578095801	22.27	8195.78	1.85592	8195.88	1.58955	8195.62	1.75777	8195.44	1.82757	8195.14	1.94082	30.9844
1512578096824	22.27	8198.44	1.81046	8197.56	1.82757	8198	1.82574	8197.44	2.04287	8196.92	2.50694	31.0861
1512578097863	22.27	8199.11	1.2693	8199.4	2.04124	8199.38	1.60927	8199.04	1.88149	8199.37	2.47607	31.101
1512578098940	22.29	8198.56	1.74005	8198.6	2.08167	8198.54	1.71345	8198.28	1.86011	8198.22	2.09521	31.0968
1512578099944	22.29	8198.89	1.45297	8199.04	1.3687	8198.85	1.21423	8199.08	1.32035	8198.19	1.85585	31.116
1512578100992	22.29	8198.11	1.16667	8197.72	1.6207	8197.85	1.21423	8197.76	1.47986	8197.73	1.82066	31.097
1512578102079	22.29	8198	1.41421	8197.64	1.49666	8197.77	1.30089	8197.72	1.36991	8197.18	1.797	31.0863
1512578103118	22.3	8196.44	1.87824	8196.6	1.65831	8196.31	1.75046	8196.52	1.5308	8196.49	1.92329	31.0441
1512578104165	22.31	8196.67	1.80278	8196.56	1.80462	8196.54	2.02548	8196.36	1.8	8196.46	1.99473	31.0484
1512578105185	22.31	8196.67	1.80278	8196.56	1.80462	8196.54	2.02548	8196.36	1.8	8196.46	1.99473	31.0377
1512578106293	22.3	8196.22	1.09291	8196.08	1.46969	8196.08	1.11516	8195.92	1.52534	8196.33	2.12431	31.0207
1512578107321	22.31	8194.22	1.09291	8194.72	1.69607	8194.38	1.04391	8194.24	1.53514	8194.77	1.99806	30.9511
1512578108397	22.31	8194.22	1.7873	8194.32	1.40594	8194.15	1.51911	8194.12	1.64114	8194.16	1.88749	30.9723
1512578109550	22.32	8193.44	1.50923	8193.04	1.48549	8193	1.47196	8192.84	1.67531	8193.08	2.02566	30.9281
1512578110573	22.33	8192.11	1.83333	8191.96	1.79072	8191.92	1.60528	8191.68	1.90875	8191.78	2.27466	30.884
1512578111620	22.33	8191.89	1.53659	8191.4	1.47196	8191.69	1.54837	8191.44	1.68523	8191.41	2.12459	30.9008
1512578112648	22.32	8190.67	1.22474	8190.24	1.39284	8190.23	1.36344	8190.2	1.41421	8190.58	1.89457	30.8691
1512578113652	22.32	8191.33	0.866025	8190.64	1.38082	8191	1.52753	8190.6	1.44338	8190.82	1.92117	30.8481
1512578114734	22.32	8189.89	1.16667	8189.6	1.44338	8189.54	1.39137	8189.48	1.44684	8189.67	1.96158	30.7935
1512578115952	22.31	8189	1.87083	8188.8	1.91485	8188.77	1.87767	8188.8	1.97906	8188.6	2.20355	30.7599
1512578117022	22.31	8187.56	1.74005	8187.44	1.89473	8187.38	2.14237	8187.44	1.85023	8187.32	2.08177	30.7032
1512578118078	22.32	8186.56	1.87824	8186.16	1.7	8186.15	1.95133	8185.84	1.90788	8185.75	1.95531	30.6678
1512578119161	22.32	8185.89	1.45297	8185.48	1.38804	8185.46	1.5064	8185.28	1.4	8184.83	1.94815	30.6428
1512578120296	22.33	8185	1	8184.56	1.35647	8184.69	1.18213	8184.52	1.1225	8184.27	2.1341	30.6094
1512578121365	22.31	8183.67	1.11803	8184.04	1.67033	8183.69	1.03155	8184	1.84842	8183.88	2.29612	30.5612
1512578122377	22.33	8184.44	1.33333	8184.8	1.60728	8184.31	1.54837	8184.8	1.97906	8184.61	2.62188	30.5885
1512578123405	22.32	8182.22	1.20185	8182.84	1.72434	8182.08	1.25576	8182.64	1.62993	8183.5	2.79159	30.5136
1512578124437	22.31	8181.56	1.13039	8181.76	1.42244	8181.31	1.37747	8181.64	1.823	8182.37	2.41833	30.4803
1512578125440	22.31	8180.22	1.64148	8180.36	1.7767	8180	1.73205	8180.2	1.97906	8181.31	2.41021	30.4241
1512578126490	22.32	8180.67	2.06155	8180.56	1.93821	8180.08	1.97744	8180.16	1.97231	8181.03	2.04745	30.4407
1512578127507	22.31	8181.22	1.39443	8180.96	1.48549	8180.92	1.49786	8180.72	1.56844	8180.62	2.20041	30.4697
1512578128530	22.31	8180.22	1.64148	8180.24	1.5885	8180.08	1.60528	8180.08	1.52534	8179.94	2.00309	30.4305
1512578129633	22.3	8180.22	1.64148	8180.24	1.5885	8180.08	1.60528	8180.08	1.52534	8179.94	2.00309	30.4176
1512578130696	22.31	8179.56	1.66667	8179.08	1.68127	8179.69	1.75046	8179.28	1.67133	8179.57	2.06572	30.3992
1512578131753	22.31	8180.67	1.87083	8179.52	1.98158	8180.23	1.83275	8179.76	2.00582	8179.33	2.27811	30.3868
1512578132774	22.3	8177.56	2.29734	8177.12	2.10792	8177	2.3094	8176.88	2.26053	8177.12	2.29158	30.3514
1512578133793	22.3	8176.78	1.7873	8176.44	1.87261	8176.54	1.61325	8176.08	1.73013	8176.74	1.97253	30.2894
1512578134900	22.3	8174.67	1.93649	8174.68	1.93046	8174.69	1.97419	8174.36	1.91224	8174.73	1.97437	30.2152
1512578135926	22.31	8174.56	2.18581	8174.48	1.47535	8174.46	1.8081	8174.4	1.47196	8174.65	2.2174	30.1805
1512578136951	22.3	8175.89	2.71314	8176.52	2.34734	8175.62	2.36426	8176.6	2.58199	8174.95	2.51307	30.1576
1512578137977	22.3	8174.78	1.64148	8175.28	1.86011	8174.69	1.60128	8175.4	2.14087	8174.66	2.42108	30.2234
1512578139020	22.3	8174.22	1.30171	8174.36	1.38082	8174	1.41421	8174.28	1.54164	8174.27	2.27354	30.1846
1512578140044	22.3	8174.33	1.65831	8174.4	1.63299	8174.31	1.60128	8174.4	1.75594	8174.21	1.86286	30.2316
1512578141054	22.3	8173.22	1.39443	8173.52	1.44684	8173.23	1.23517	8173.36	1.65529	8173.23	2.00776	30.1658
1512578142080	22.29	8172.11	1.76383	8172.56	1.38684	8172.15	1.51911	8172.56	1.63503	8172.98	2.38807	30.1183
1512578143105	22.28	8175.11	1.69148	8174.64	2.07926	8175	1.95789	8174.4	2.32737	8174.4	2.61832	30.2228
1512578144180	22.28	8174.56	1.81046	8174.64	1.70489	8174.85	1.67562	8174.44	1.70978	8173.8	2.12515	30.1981
1512578145327	22.28	8174.56	1.81046	8174.64	1.70489	8174.85	1.67562	8174.44	1.70978	8173.8	2.12515	30.194
1512578146347	22.28	8174.56	1.81046	8174.64	1.70489	8174.85	1.67562	8174.44	1.70978	8173.8	2.12515	30.194
Rebooting
FFC
1512578150715	22.11	8188.67	1.80278	8189.68	2.32236	8189.31	2.28709	8189.52	2.10396	8188.34	2.71515	30.1875
1512578151736	22.16	8180.22	2.16667	8181.04	1.92527	8180.46	1.94145	8180.72	1.83757	8180.15	2.22198	30.3267
1512578152781	22.18	8178.22	2.04803	8177.92	1.6563	8178	1.91485	8177.76	1.69017	8177.01	1.94051	30.2652
1512578153889	22.2	8177.11	2.02759	8177.08	1.86905	8176.92	1.93484	8176.92	1.80093	8176.44	1.87561	30.2345
1512578154903	22.22	8177	1.73205	8177.88	1.61555	8177.15	1.57301	8177.76	1.50776	8176.75	1.79997	30.2393
1512578155928	22.24	8180	1.5	8180.76	1.64012	8180.08	1.49786	8180.6	1.70783	8180.55	2.12596	30.364
1512578156953	22.24	8187.67	1.87083	8187	2.98608	8187.38	1.80455	8187.04	2.74591	8185.65	2.59782	30.6579
1512578157979	22.27	8187.11	2.08833	8186.92	2.23458	8186.69	2.28709	8186.76	2.27816	8185.34	2.0507	30.6564
1512578159237	22.27	8187.11	1.16667	8188.08	1.75404	8187.38	1.80455	8188.04	2.13073	8187.19	2.28663	30.6629
1512578160258	22.28	8188.89	1.83333	8189.2	1.65831	8188.77	1.7867	8189.08	1.75404	8188.58	2.40335	30.7299
1512578161313	22.29	8188	1.58114	8188.4	1.58114	8187.92	1.5525	8188.2	1.47196	8187.83	1.87735	30.7028
1512578162322	22.3	8188.89	1.61589	8189.88	2.65079	8189.15	1.81871	8189.28	2.03142	8189.23	2.26213	30.7428
1512578163335	22.31	8189	1	8189.88	1.64114	8189.46	1.26592	8189.72	1.33915	8189.39	1.91466	30.766
1512578164373	22.31	8187.56	1.424	8188.32	1.54704	8187.92	1.49786	8188.32	1.46401	8188.52	1.75616	30.7096
1512578165391	22.31	8188.44	2.12786	8188.28	2.03142	8188.08	2.39658	8187.84	1.90788	8187.51	2.17013	30.7431
1512578166440	22.34	8188.67	2.29129	8189.24	2.63439	8188.85	2.57702	8188.92	2.1587	8188.42	2.31296	30.7664
1512578167487	22.34	8188.67	1.80278	8188.92	1.91311	8188.62	1.80455	8188.68	1.70098	8188.32	2.24546	30.7644
1512578168510	22.34	8188.89	1.96497	8189.24	1.76257	8188.85	1.77229	8189.28	1.69607	8188.47	1.95535	30.7686
1512578169516	22.35	8186.89	2.02759	8187.28	1.64621	8186.85	1.90815	8187	1.63299	8186.48	1.84587	30.7039
1512578170527	22.36	8185.89	1.61589	8185.88	1.48099	8185.62	1.55662	8185.56	1.47422	8184.54	1.79982	30.6663
1512578171546	22.35	8186.56	1.94365	8186.08	1.84662	8186.46	1.94145	8186.28	1.72047	8184.63	2.18796	30.6955
1512578172566	22.35	8185.22	2.16667	8184.6	1.80278	8185.15	1.95133	8184.84	1.67531	8183.58	2.01428	30.6371
1512578173621	22.34	8182.89	2.02759	8182.84	1.7	8182.92	1.89128	8182.84	1.65025	8182.17	1.8381	30.5643
1512578174746	22.35	8180.78	1.7873	8180.92	1.6052	8181	1.91485	8181.16	1.59896	8180.41	1.90758	30.4706
1512578175759	22.36	8179.67	1.22474	8179.72	1.27541	8179.85	1.28103	8180.16	1.24766	8179.85	2.05642	30.4356
1512578176908	22.36	8179.33	1.41421	8178.72	1.54164	8178.92	1.70595	8178.92	1.46969	8178.47	1.9068	30.4167
1512578177934	22.35	8177.56	1.23603	8177.32	1.6	8177.38	1.60927	8177.32	1.54704	8177.03	2.126	30.3506
1512578179073	22.36	8177.67	1.22474	8177.64	1.7767	8177.69	1.70219	8177.68	1.70098	8177.61	2.12631	30.3611
1512578180115	22.36	8177.56	2.18581	8177.84	2.2487	8177.38	2.10311	8177.52	2.20076	8177.44	2.28154	30.3588
1512578181126	22.35	8177.56	1.87824	8176.96	1.90351	8177.15	1.99358	8176.84	2.0347	8176.51	2.16053	30.3482
1512578182139	22.35	8176.22	1.85592	8176.44	2.08327	8175.92	2.13937	8176.2	1.87083	8176.45	2.17919	30.301
1512578183165	22.35	8175.11	1.53659	8174.92	1.6052	8175.08	1.49786	8174.92	1.55242	8175.11	2.19696	30.2533
1512578184190	22.36	8173	2.12132	8173.4	1.55456	8173.23	1.87767	8173.44	1.60935	8173.88	2.18215	30.2004
1512578185229	22.35	8172.67	1.93649	8172.68	1.8421	8172.38	1.66024	8172.72	1.59478	8172.63	2.21869	30.167
1512578186292	22.34	8171	1.80278	8171.6	1.60728	8171.08	1.5525	8171.36	1.49666	8171.99	2.07914	30.1078
1512578187294	22.33	8170.44	1.94365	8170.96	1.90351	8170.69	1.75046	8170.6	1.70783	8170.87	2.08229	30.0972
1512578188319	22.34	8169.11	1.90029	8169.96	1.98914	8169.46	1.6641	8169.64	1.84572	8170.02	2.33175	30.0359
1512578189334	22.33	8168.78	1.64148	8169.24	1.66533	8169	1.63299	8168.8	1.91485	8168.58	2.38612	30.0131
1512578190426	22.34	8170.22	1.64148	8170	1.5	8170.31	1.4367	8170	1.41421	8169.59	2.54814	30.0662
1512578191496	22.34	8167	2.23607	8167.4	2.10159	8167	2	8167.36	2.03879	8167.52	2.34985	29.9682
1512578192547	22.33	8166.44	1.66667	8167.4	1.91485	8166.77	1.73944	8167.16	1.72434	8167.09	2.26422	29.9274
1512578193583	22.32	8164.67	1.32288	8165.56	1.73397	8164.77	1.23517	8165.12	1.56312	8166	2.18899	29.8599
1512578194805	22.33	8164.78	1.92209	8165.44	1.82757	8165.08	1.84669	8165.32	1.7253	8165.45	2.05355	29.8599
1512578195969	22.33	8164.78	1.92209	8165.44	1.82757	8165.08	1.84669	8165.32	1.7253	8165.45	2.05355	29.8599
1512578197100	22.32	8164.78	1.92209	8165.44	1.82757	8165.08	1.84669	8165.32	1.7253	8165.45	2.05355	29.8599
Rebooting
FFC
1512578200803	22.14	8186.11	1.36423	8185.4	2.06155	8185.54	1.76141	8185.2	2.3094	8185.15	2.64244	29.8534
1512578201811	22.2	8176.44	1.50923	8176.44	1.55671	8176.62	1.3253	8176.64	1.38082	8175.61	2.14556	30.218
1512578202910	22.22	8173.78	1.20185	8173.52	1.55778	8173.92	1.32045	8173.52	1.66132	8173.23	1.9039	30.1263
1512578203976	22.25	8173	2.23607	8172.4	2.16025	8173.15	2.19265	8172.52	2.04369	8171.84	1.92302	30.1187
1512578205005	22.25	8174.89	3.33333	8175.08	3.20052	8175.23	3.05924	8175.04	2.92233	8173.76	2.47596	30.1934
1512578206017	22.27	8175.78	2.22361	8175.8	2.34521	8176.15	1.99358	8175.96	2.22636	8175.43	2.23293	30.2263
1512578207043	22.27	8178.33	1.41421	8178.08	1.91311	8178.46	1.45002	8177.96	1.83666	8177.39	2.1236	30.3407
1512578208079	22.29	8181.78	0.666667	8182.52	2.4173	8182.23	1.58923	8182.44	2.29274	8180.83	2.4353	30.384
1512578209145	22.31	8184.33	2.06155	8183.88	2.48864	8184.69	2.01596	8183.96	2.18861	8182.69	2.20481	30.5821
1512578210229	22.32	8182.89	1.83333	8182.88	1.94336	8183.46	1.76141	8183.12	1.73973	8181.99	2.03098	30.5302
1512578211265	22.33	8184.22	0.971825	8183.96	1.83666	8184.46	1.39137	8184.36	2.01825	8183.63	2.30391	30.5866
1512578212299	22.34	8184.22	1.64148	8184.2	1.77951	8184.62	1.60927	8184.12	1.98578	8183.45	2.38231	30.5995
